mutant1,mutant2,template,passed_test,diff_locations,explored_diffs,elapsed_time
parSeq__from_medium_slave7.xml,parSeq__in_231.xml,Template2,FAILED,5,2,7
parSeq__in_231.xml,parSeq__from_medium_slave7.xml,Template4,FAILED,5,5,7
parSeq__in_231.xml,commLoc_4.xml,Template1,PASSED,3,3,10
commLoc_4.xml,parSeq__in_231.xml,Template2,FAILED,3,2,7
parSeq__in_231.xml,delSync__from_medium_slave7.xml,Template4,FAILED,5,4,9
delSync__from_medium_slave7.xml,parSeq__in_231.xml,Template4,FAILED,5,1,5
MaskVarChannel__data1_Template0.xml,parSeq__in_231.xml,Template2,FAILED,3,2,12
parSeq__in_231.xml,MaskVarChannel__data1_Template0.xml,Template1,PASSED,3,3,10
parSeq__in_231.xml,parSeq__from_medium_slave8.xml,Template4,FAILED,5,1,12
parSeq__from_medium_slave8.xml,parSeq__in_231.xml,Template2,FAILED,5,2,8
parSeq__in_231.xml,delSync__from_medium_slave16.xml,Template6,FAILED,6,1,8
delSync__from_medium_slave16.xml,parSeq__in_231.xml,Template6,FAILED,6,2,8
parSeq__in_231.xml,commLoc_9.xml,Template3,PASSED,3,3,12
commLoc_9.xml,parSeq__in_231.xml,Template3,FAILED,3,1,8
parSeq__in_231.xml,urgLoc_6.xml,Template2,PASSED,3,3,12
urgLoc_6.xml,parSeq__in_231.xml,Template2,FAILED,3,1,6
parSeq__in_231.xml,delSync__data11.xml,Template5,FAILED,5,3,11
delSync__data11.xml,parSeq__in_231.xml,Template2,FAILED,5,2,6
delSync__from_medium_slave23.xml,parSeq__in_231.xml,Template5,FAILED,5,1,11
parSeq__in_231.xml,delSync__from_medium_slave23.xml,Template02,FAILED,5,2,13
parSeq__in_231.xml,delOutput__out_2_0.xml,Template2,PASSED,3,3,8
delOutput__out_2_0.xml,parSeq__in_231.xml,Template3,FAILED,3,1,11
parSeq__in_231.xml,commLoc_2.xml,Template1,PASSED,3,3,12
commLoc_2.xml,parSeq__in_231.xml,Template2,FAILED,3,2,10
parSeq__in_231.xml,parSeq__from_medium_slave29.xml,Template03,FAILED,6,1,7
parSeq__from_medium_slave29.xml,parSeq__in_231.xml,Template6,FAILED,6,2,12
delSync__from_medium_slave5.xml,parSeq__in_231.xml,Template4,FAILED,4,2,7
parSeq__in_231.xml,delSync__from_medium_slave5.xml,Template3,FAILED,4,2,10
parSeq__in_231.xml,urgLoc_3.xml,Template1,PASSED,3,3,7
urgLoc_3.xml,parSeq__in_231.xml,Template3,FAILED,3,1,10
parSeq__in_231.xml,MaskVarClock_clock_c3_Template0.xml,Template2,PASSED,3,3,7
MaskVarClock_clock_c3_Template0.xml,parSeq__in_231.xml,Template3,FAILED,3,1,7
parSeq__in_231.xml,urgLoc_8.xml,Template1,PASSED,3,3,12
urgLoc_8.xml,parSeq__in_231.xml,Template2,FAILED,3,2,6
parSeq__in_231.xml,urgLoc_9.xml,Template1,PASSED,3,3,6
urgLoc_9.xml,parSeq__in_231.xml,Template2,FAILED,3,2,11
parSeq__in_231.xml,delSync__from_medium_slave6.xml,Template4,FAILED,5,3,10
delSync__from_medium_slave6.xml,parSeq__in_231.xml,Template4,FAILED,5,1,10
urgChan__out_2.xml,parSeq__in_231.xml,Template3,FAILED,3,2,12
parSeq__in_231.xml,urgChan__out_2.xml,Template1,PASSED,3,3,8
parSeq__from_medium_slave28.xml,parSeq__in_231.xml,Template2,FAILED,5,2,7
parSeq__in_231.xml,parSeq__from_medium_slave28.xml,Template5,FAILED,5,1,6
parSeq__in_231.xml,MaskVarChannel__data1_Template.xml,Template3,PASSED,3,3,7
MaskVarChannel__data1_Template.xml,parSeq__in_231.xml,Template2,FAILED,3,2,12
parSeq__in_231.xml,MaskVarChannel__data3_Template.xml,Template3,PASSED,3,3,11
MaskVarChannel__data3_Template.xml,parSeq__in_231.xml,Template3,FAILED,3,1,12
parSeq__in_231.xml,MaskVarChannel__data0_Template0.xml,Template3,PASSED,3,3,12
MaskVarChannel__data0_Template0.xml,parSeq__in_231.xml,Template3,FAILED,3,2,11
parSeq__in_231.xml,urgChan__data1.xml,Template1,PASSED,3,3,7
urgChan__data1.xml,parSeq__in_231.xml,Template2,FAILED,3,1,11
parSeq__in_231.xml,parSeq__from_medium_slave10.xml,Template02,FAILED,5,5,9
parSeq__from_medium_slave10.xml,parSeq__in_231.xml,Template4,FAILED,5,3,7
parSeq__in_231.xml,MaskVarChannel__data3_Template0.xml,Template1,PASSED,3,3,9
MaskVarChannel__data3_Template0.xml,parSeq__in_231.xml,Template3,FAILED,3,1,11
parSeq__in_231.xml,delSync__from_medium_slave21.xml,Template02,FAILED,5,3,12
delSync__from_medium_slave21.xml,parSeq__in_231.xml,Template4,FAILED,5,3,8
parSeq__in_231.xml,delOutput__from_medium_slave_0.xml,Template1,PASSED,3,3,9
delOutput__from_medium_slave_0.xml,parSeq__in_231.xml,Template2,FAILED,3,2,10
parSeq__in_231.xml,delSync__from_medium_slave1.xml,Template3,FAILED,4,3,7
delSync__from_medium_slave1.xml,parSeq__in_231.xml,Template4,FAILED,4,2,12
parSeq__in_231.xml,MaskVarChannel__data2_Template0.xml,Template3,PASSED,3,3,6
MaskVarChannel__data2_Template0.xml,parSeq__in_231.xml,Template2,FAILED,3,2,9
parSeq__in_231.xml,urgChan__in_2.xml,Template1,PASSED,3,3,9
urgChan__in_2.xml,parSeq__in_231.xml,Template3,FAILED,3,1,12
parSeq__in_231.xml,parSeq__from_medium_slave22.xml,Template4,FAILED,5,5,11
parSeq__from_medium_slave22.xml,parSeq__in_231.xml,Template4,FAILED,5,2,7
parSeq__in_231.xml,MaskVarChannel__to_medium_slave_Template0.xml,Template2,PASSED,3,3,10
MaskVarChannel__to_medium_slave_Template0.xml,parSeq__in_231.xml,Template2,FAILED,3,2,10
parSeq__in_231.xml,delSync__from_medium_slave4.xml,Template3,FAILED,4,1,10
delSync__from_medium_slave4.xml,parSeq__in_231.xml,Template3,FAILED,4,1,7
parSeq__in_231.xml,MaskVarChannel__in_2_Template0.xml,Template1,PASSED,1,1,7
MaskVarChannel__in_2_Template0.xml,parSeq__in_231.xml,Template2,FAILED,3,1,7
parSeq__in_231.xml,delSync__from_medium_slave18.xml,Template02,FAILED,6,2,8
delSync__from_medium_slave18.xml,parSeq__in_231.xml,Template5,FAILED,6,5,6
parSeq__in_231.xml,MaskVarChannel__in_2_Template.xml,Template1,PASSED,1,1,7
MaskVarChannel__in_2_Template.xml,parSeq__in_231.xml,Template3,FAILED,3,2,11
parSeq__in_231.xml,commLoc_10.xml,Template2,PASSED,3,3,12
commLoc_10.xml,parSeq__in_231.xml,Template2,FAILED,3,2,11
parSeq__in_231.xml,urgLoc_10.xml,Template3,PASSED,3,3,7
urgLoc_10.xml,parSeq__in_231.xml,Template2,FAILED,3,2,11
parSeq__in_231.xml,parSeq__out_232.xml,Template03,FAILED,6,2,8
parSeq__out_232.xml,parSeq__in_231.xml,Template5,FAILED,6,1,7
parSeq__in_231.xml,delSync__data01.xml,Template5,FAILED,5,4,11
delSync__data01.xml,parSeq__in_231.xml,Template2,FAILED,5,1,5
parSeq__in_231.xml,delOutput__from_medium_slave_3.xml,Template3,PASSED,3,3,8
delOutput__from_medium_slave_3.xml,parSeq__in_231.xml,Template3,FAILED,3,1,12
delSync__from_medium_slave11.xml,parSeq__in_231.xml,Template2,FAILED,5,1,8
parSeq__in_231.xml,delSync__from_medium_slave11.xml,Template4,FAILED,5,1,12
parSeq__in_231.xml,parSeq__from_medium_slave18.xml,Template5,FAILED,5,1,11
parSeq__from_medium_slave18.xml,parSeq__in_231.xml,Template2,FAILED,5,3,6
parSeq__in_231.xml,commLoc_5.xml,Template3,PASSED,3,3,7
commLoc_5.xml,parSeq__in_231.xml,Template3,FAILED,3,1,10
parSeq__in_231.xml,parSeq__from_medium_slave6.xml,Template3,FAILED,4,3,12
parSeq__from_medium_slave6.xml,parSeq__in_231.xml,Template2,FAILED,4,2,9
parSeq__in_231.xml,delSync__from_medium_slave3.xml,Template3,FAILED,4,4,10
delSync__from_medium_slave3.xml,parSeq__in_231.xml,Template4,FAILED,4,1,11
parSeq__in_231.xml,parSeq__from_medium_slave11.xml,Template3,FAILED,4,1,7
parSeq__from_medium_slave11.xml,parSeq__in_231.xml,Template2,FAILED,4,2,6
MaskVarChannel__from_medium_slave_Template0.xml,parSeq__in_231.xml,Template1,FAILED,3,1,11
parSeq__in_231.xml,urgChan__to_medium_slave.xml,Template3,PASSED,3,3,12
urgChan__to_medium_slave.xml,parSeq__in_231.xml,Template3,FAILED,3,1,10
parSeq__in_231.xml,urgChan_tau.xml,Template2,PASSED,3,3,10
urgChan_tau.xml,parSeq__in_231.xml,Template2,FAILED,3,1,11
parSeq__in_231.xml,delSync__from_medium_slave12.xml,Template4,FAILED,5,1,7
delSync__from_medium_slave12.xml,parSeq__in_231.xml,Template2,FAILED,5,2,7
parSeq__in_231.xml,MaskVarChannel__data0_Template.xml,Template1,PASSED,3,3,12
MaskVarChannel__data0_Template.xml,parSeq__in_231.xml,Template3,FAILED,3,2,7
parSeq__in_231.xml,parSeq__data12.xml,Template5,FAILED,5,5,11
parSeq__data12.xml,parSeq__in_231.xml,Template2,FAILED,5,3,8
parSeq__in_231.xml,urgLoc_5.xml,Template2,PASSED,3,3,8
urgLoc_5.xml,parSeq__in_231.xml,Template3,FAILED,3,1,8
parSeq__in_231.xml,MaskVarChannel__empty_slave_Template.xml,Template2,PASSED,3,3,9
MaskVarChannel__empty_slave_Template.xml,parSeq__in_231.xml,Template3,FAILED,3,1,11
urgLoc_11.xml,parSeq__in_231.xml,Template2,FAILED,3,1,13
parSeq__in_231.xml,urgLoc_11.xml,Template2,PASSED,3,3,6
delSync__from_medium_slave15.xml,parSeq__in_231.xml,Template4,FAILED,5,2,8
parSeq__in_231.xml,delSync__from_medium_slave15.xml,Template3,FAILED,5,1,7
parSeq__in_231.xml,delOutput__to_medium_slave_0.xml,Template3,PASSED,3,3,7
delOutput__to_medium_slave_0.xml,parSeq__in_231.xml,Template2,FAILED,3,2,6
parSeq__in_231.xml,parSeq__from_medium_slave23.xml,Template5,FAILED,5,1,7
parSeq__from_medium_slave23.xml,parSeq__in_231.xml,Template4,FAILED,5,2,12
parSeq__in_231.xml,delSync__from_medium_slave22.xml,Template02,FAILED,5,1,8
delSync__from_medium_slave22.xml,parSeq__in_231.xml,Template5,FAILED,5,3,6
parSeq__in_231.xml,commLoc_11.xml,Template1,PASSED,3,3,10
commLoc_11.xml,parSeq__in_231.xml,Template3,FAILED,3,2,11
parSeq__in_231.xml,parSeq__from_medium_slave9.xml,Template6,FAILED,6,1,12
parSeq__from_medium_slave9.xml,parSeq__in_231.xml,Template5,FAILED,6,3,7
delOutput__data2_0.xml,delSync__from_medium_slave14.xml,Template2,FAILED,2,1,6
delSync__from_medium_slave14.xml,delOutput__data2_0.xml,Template1,PASSED,2,2,7
delOutput__from_medium_slave_2.xml,delSync__from_medium_slave14.xml,Template2,FAILED,2,1,7
delSync__from_medium_slave14.xml,delOutput__from_medium_slave_2.xml,Template1,PASSED,2,2,7
parSeq__from_medium_slave26.xml,delSync__from_medium_slave14.xml,Template1,FAILED,4,1,8
delSync__from_medium_slave14.xml,parSeq__from_medium_slave26.xml,Template3,FAILED,4,2,9
